,id,parent,childtype,name,tag,type,typecode,biz_type,address,location,tel,postcode,website,email,pcode,pname,citycode,cityname,adcode,adname,importance,shopid,shopinfo,poiweight,gridcode,distance,navi_poiid,entr_location,business_area,exit_location,match,recommend,timestamp,alias,indoor_map,indoor_data,groupbuy_num,discount_num,biz_ext,event,children,photos
0,B024F0TUBP,[],[],三福时尚(安泰店),[],购物服务;服装鞋帽皮具店;服装鞋帽皮具店,061100,[],津泰路48号安泰中心2层,"119.300595,26.081621",0591-87608415,[],[],[],350000,福建省,0591,福州市,350102,鼓楼区,[],[],0,[],3919029420,[],[],"119.30048,26.081589",新店,[],0,0,2019-10-31 19:59:59,[],0,"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,0,"{'rating': '3.0', 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1ec56458c1b65b3aeb1c9a7642768a47'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/387a653ca05503e2f24f8542b39ab011'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6dd23ab1464907ab18dbea2d86cd17a9'}]"
1,B0FFFQ68FS,B0FFG9DH3B,202,优衣库(世欧广场店),[],购物服务;服装鞋帽皮具店;品牌服装店,061101,[],长河路88号世欧广场北区1层,"119.327080,26.070692",0591-87319991,[],[],[],350000,福建省,0591,福州市,350111,晋安区,[],[],0,[],3919028610,[],G50F024043_87527,"119.327339,26.071802",王庄,[],0,0,2019-10-30 19:19:45,[],0,"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,0,"{'rating': '4.5', 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e67b61aa911e14bdb89aaa588b6979f9'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a16127cb43d5809a954649e06375a144'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/88c1acdcaa53ea0fd1da851dba02e72a'}]"
2,B024F0YEIR,[],[],福州大鞋城(国货东路),[],购物服务;服装鞋帽皮具店;服装鞋帽皮具店,061100,[],江滨东大道68号东方名城,"119.394951,26.017602",[],[],[],[],350000,福建省,0591,福州市,350105,马尾区,[],[],0,[],3919032101,[],G50F024044_8323,"119.394772,26.017249",[],[],0,0,2019-11-01 02:40:48,[],0,"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,0,"{'rating': '3.1', 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/060bca97d02702332818c4d82c557109'}]"
3,B0FFHE9GCP,B0FFF5QW6L,201,优衣库(爱琴海购物公园),[],购物服务;服装鞋帽皮具店;品牌服装店,061101,[],金山街道浦上大道198号爱琴海购物公园1F层,"119.279725,26.040348",0591-88190255,[],[],[],350000,福建省,0591,福州市,350104,仓山区,[],[],0,[],3919024221,[],[],"119.280825,26.040495",金山,[],0,0,2019-10-29 13:17:12,[],1,"{'cpid': 'B0FFF5QW6L', 'floor': '1', 'truefloor': '1F', 'cmsid': 'GD0018930210100013'}",0,0,"{'rating': '4.5', 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/50a39ed4f8948a1faf695fd870c1eacd'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/75de4b01b8f498bf75c7e0f579d28b62'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/95f8bde7f108b9ffbd5b37304da6583d'}]"
4,B0FFGNZAK6,B0FFF01ETV,202,优衣库(泰禾广场店),[],购物服务;服装鞋帽皮具店;品牌服装店,061101,[],化工路泰禾广场2层,"119.336261,26.090051",0591-87933350,[],[],[],350000,福建省,0591,福州市,350111,晋安区,[],[],0,[],3919120622,[],[],"119.337677,26.089107",[],[],0,0,2019-10-29 21:15:13,[],0,"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,0,"{'rating': '5.0', 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b76970f841cbb051dccf1129eed1e333'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a2bb288f03e892faf9d8c0331418345a'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6a200fbde53981e73267b0562bffc2c1'}]"
5,B0FFG0MOJA,[],[],丹顶鹤,[],购物服务;服装鞋帽皮具店;品牌服装店,061101,[],新店镇福州动物园锦鲤,"119.289315,26.138930",[],[],[],[],350000,福建省,0591,福州市,350111,晋安区,[],[],0,[],3919126320,[],[],[],新店,[],0,0,2019-11-01 09:36:40,[],0,"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,0,"{'rating': [], 'cost': []}",[],[],[]
6,B0FFF0DPMY,B024F0ZWF4,201,优衣库(福州苏宁广场店),[],购物服务;服装鞋帽皮具店;品牌服装店,061101,[],工业路233号苏宁广场1-2层,"119.286923,26.062076",0591-38100066,[],[],[],350000,福建省,0591,福州市,350103,台江区,[],[],0,[],3919027212,[],G50F024043_181575,[],建新,[],0,0,2019-10-29 14:50:24,[],1,"{'cpid': 'B024F0ZWF4', 'floor': '1', 'truefloor': 'F1', 'cmsid': 'TY0001730210100001'}",0,0,"{'rating': '4.5', 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/5d8a765cdf571ec0d643cc65e9c65f6e'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/402c6f29cd3a2fa810d864025e647638'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d4867650301b9aa6dc0ab7fbf814c05a'}]"
7,B024F03568,[],[],莲花(法海路店),[],购物服务;服装鞋帽皮具店;服装鞋帽皮具店,061100,[],安泰街道法海路24号,"119.304772,26.079891",[],[],[],[],350000,福建省,0591,福州市,350102,鼓楼区,[],[],0,[],3919029411,[],G50F024043_1573,[],新店,[],0,0,2019-10-29 15:26:23,[],0,"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,0,"{'rating': [], 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/28a4be3ee972172b53f812ed751da092'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6e5dfd103bedda2f99e7956023d2014a'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/83c68e350caf9330c4974f6fc2598e80'}]"
8,B024F0U3QZ,[],[],财茂纺织服装城,[],购物服务;服装鞋帽皮具店;服装鞋帽皮具店,061100,[],盖山镇齐安路756号,"119.295473,26.009960",[],[],[],[],350000,福建省,0591,福州市,350104,仓山区,[],[],0,[],3919021301,[],[],[],[],[],0,0,2019-11-01 03:46:44,[],0,"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,0,"{'rating': [], 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/052dee879fa7bd58d8cb8b09f65a3a77'}]"
9,B024F0TTFI,[],[],以纯(中亭3店),[],购物服务;服装鞋帽皮具店;品牌服装店,061101,[],八一七南路76-78,"119.310144,26.052177",0591-87511946,[],[],[],350000,福建省,0591,福州市,350103,台江区,[],[],0,[],3919026402,[],G50F024043_41278,[],中亭街,[],0,0,2019-10-29 21:46:17,[],0,"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,0,"{'rating': '3.5', 'cost': []}",[],[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0f3ce1609278d5724bb69372492f2f90'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/73d17e120b9cb78da085ab84352e9f23'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/956da655d6a1d49b6fad9c4c7aee48d0'}]"
